IdKhachHang,City,IdInvoice,Day,Month,Year,Gender,ProductLine,PaymentMethod,Quantity,Rating,Gross Income
63,Yangon,124-31-1458,8,1,2019,Female,Sports and travel,Cash,3,6.6,11.9385
64,Yangon,873-14-6353,16,2,2019,Male,Sports and travel,Credit card,7,7.1,8.687
65,Yangon,166-19-2553,18,1,2019,Male,Health and beauty,Cash,6,9.9,26.718
66,Yangon,737-88-5876,19,3,2019,Male,Health and beauty,Credit card,4,5.9,4.658
67,Yangon,291-55-6563,30,3,2019,Female,Health and beauty,Ewallet,6,7.5,10.326
68,Yangon,381-20-0914,12,1,2019,Female,Fashion accessories,Credit card,9,5.7,9.0045
69,Yangon,548-48-3156,19,3,2019,Female,Sports and travel,Cash,2,7.6,8.334
70,Yangon,325-89-4209,5,2,2019,Male,Health and beauty,Ewallet,1,6.7,4.395
71,Yangon,884-80-6021,23,3,2019,Female,Food and beverages,Ewallet,10,9.5,36.735
72,Yangon,880-46-5796,17,3,2019,Male,Fashion accessories,Ewallet,10,5.6,38.46
73,Yangon,146-09-5432,9,2,2019,Male,Food and beverages,Ewallet,9,4.6,15.768
74,Yangon,595-94-9924,26,3,2019,Female,Electronic accessories,Credit card,5,4.2,6.9325
75,Yangon,186-71-5196,27,3,2019,Female,Home and lifestyle,Ewallet,2,6.2,7.954
76,Yangon,522-57-8364,31,1,2019,Male,Electronic accessories,Ewallet,8,7.6,20.536
77,Yangon,459-45-2396,25,2,2019,Female,Fashion accessories,Cash,3,5.8,14.94
78,Yangon,397-25-8725,13,1,2019,Female,Fashion accessories,Credit card,9,6.8,17.829
79,Yangon,633-44-8566,27,3,2019,Male,Food and beverages,Credit card,7,7.3,17.283
80,Yangon,131-70-8179,17,2,2019,Female,Health and beauty,Cash,3,4.2,13.8135
81,Yangon,333-23-2632,28,3,2019,Male,Health and beauty,Cash,7,4.2,3.528
82,Yangon,384-59-6655,19,2,2019,Female,Food and beverages,Cash,9,8.4,44.397
83,Yangon,324-92-3863,5,2,2019,Male,Food and beverages,Cash,2,9.8,2.089
84,Yangon,195-06-0432,13,1,2019,Male,Food and beverages,Credit card,3,9.3,12.1515
85,Yangon,139-32-4183,14,3,2019,Female,Sports and travel,Ewallet,9,7.4,43.866
86,Yangon,727-02-1313,9,2,2019,Male,Sports and travel,Cash,1,7.7,1.592
87,Yangon,849-09-3807,18,2,2019,Female,Fashion accessories,Cash,7,6.6,30.919
88,Yangon,631-41-3108,3,3,2019,Male,Food and beverages,Credit card,7,7.4,16.2155
89,Yangon,373-73-7910,8,2,2019,Male,Sports and travel,Ewallet,7,5.3,30.2085
90,Yangon,873-51-0671,10,1,2019,Female,Health and beauty,Ewallet,7,5.1,7.693
91,Yangon,365-64-0515,12,2,2019,Female,Home and lifestyle,Ewallet,5,7.1,11.7375
92,Yangon,252-56-2699,7,2,2019,Male,Sports and travel,Ewallet,10,8.2,21.595
93,Yangon,829-34-3910,29,3,2019,Female,Sports and travel,Cash,10,5.7,35.69
94,Yangon,765-26-6951,1,1,2019,Male,Health and beauty,Credit card,6,6.9,21.783
95,Yangon,329-62-1586,21,1,2019,Male,Health and beauty,Credit card,3,8.6,8.2005
96,Yangon,636-48-8204,17,2,2019,Male,Electronic accessories,Ewallet,5,9.9,8.64
97,Yangon,189-17-4241,10,3,2019,Female,Health and beauty,Credit card,2,7.7,8.767
98,Yangon,848-62-7243,15,3,2019,Male,Electronic accessories,Cash,9,7.4,11.2005
99,Yangon,595-11-5460,15,3,2019,Male,Food and beverages,Credit card,2,5.1,9.658
100,Yangon,272-65-1806,15,1,2019,Female,Home and lifestyle,Ewallet,9,4.7,27.396
101,Yangon,704-48-3927,12,1,2019,Male,Fashion accessories,Ewallet,10,7.3,44.335
102,Yangon,635-40-6220,7,2,2019,Male,Fashion accessories,Ewallet,8,6.6,35.84
103,Yangon,232-11-3025,24,1,2019,Male,Electronic accessories,Cash,10,6.4,39.385
104,Yangon,287-21-9091,22,1,2019,Male,Food and beverages,Ewallet,9,9.4,33.6015
105,Yangon,504-35-8843,2,1,2019,Male,Health and beauty,Cash,1,5.7,2.1235
106,Yangon,594-34-4444,8,3,2019,Male,Electronic accessories,Ewallet,1,7.2,4.858
107,Yangon,865-92-6136,23,3,2019,Male,Fashion accessories,Ewallet,3,9.3,7.9125
108,Yangon,212-62-1842,28,3,2019,Male,Sports and travel,Cash,6,9.9,17.478
109,Yangon,630-74-5166,22,3,2019,Male,Food and beverages,Cash,6,7.4,18.639
110,Yangon,642-32-2990,2,2,2019,Female,Electronic accessories,Ewallet,10,6,5.48
111,Yangon,638-60-7125,14,2,2019,Female,Sports and travel,Credit card,8,5.2,39.824
112,Yangon,645-44-1170,19,1,2019,Male,Health and beauty,Ewallet,9,4.3,26.1315
113,Yangon,668-90-8900,10,3,2019,Female,Fashion accessories,Credit card,7,4.5,32.7915
114,Yangon,870-54-3162,27,1,2019,Female,Home and lifestyle,Cash,5,9,8.0625
115,Yangon,700-81-1757,18,1,2019,Female,Home and lifestyle,Credit card,5,8.8,6.5775
116,Yangon,575-30-8091,16,3,2019,Male,Fashion accessories,Ewallet,8,9.2,29
117,Yangon,239-10-7476,21,1,2019,Female,Fashion accessories,Ewallet,6,8,23.385
118,Yangon,238-49-0436,27,3,2019,Male,Fashion accessories,Credit card,8,4.9,12.984
119,Yangon,746-94-0204,29,1,2019,Male,Food and beverages,Credit card,9,7.4,37.458
120,Yangon,275-28-0149,25,2,2019,Male,Home and lifestyle,Cash,1,6,3.1845
121,Yangon,101-17-6199,13,3,2019,Male,Electronic accessories,Credit card,7,7,16.0265
122,Yangon,687-47-8271,8,2,2019,Male,Sports and travel,Credit card,10,8.7,49.49
123,Yangon,802-70-5316,6,3,2019,Female,Sports and travel,Cash,6,8.3,27.639
124,Yangon,796-32-9050,19,1,2019,Male,Home and lifestyle,Cash,6,6.5,15.384
125,Yangon,249-42-3782,3,1,2019,Male,Fashion accessories,Ewallet,5,5.5,17.5025
126,Yangon,407-63-8975,23,3,2019,Male,Home and lifestyle,Ewallet,6,4.4,22.164
127,Yangon,586-25-0848,4,3,2019,Female,Sports and travel,Credit card,7,6.7,4.319
128,Yangon,400-60-7251,10,2,2019,Male,Fashion accessories,Ewallet,1,9.9,3.7035
129,Yangon,831-07-6050,19,3,2019,Male,Food and beverages,Credit card,5,9.9,8.1775
130,Yangon,856-22-8149,23,3,2019,Female,Sports and travel,Ewallet,1,6.1,1.2645
131,Yangon,749-24-1565,3,1,2019,Female,Fashion accessories,Ewallet,9,7.9,10.3635
132,Yangon,888-02-0338,25,1,2019,Male,Sports and travel,Ewallet,9,5.9,11.8035
133,Yangon,529-56-3982,22,3,2020,Female,Sports and travel,Credit card,9,8.5,21.036
134,Yangon,802-43-8934,22,3,2019,Male,Electronic accessories,Credit card,1,8.3,0.914
135,Yangon,354-39-5160,18,2,2019,Female,Health and beauty,Cash,6,9.8,10.326
136,Yangon,213-72-6612,20,3,2019,Male,Fashion accessories,Cash,2,6.2,4.325
137,Yangon,721-86-6247,11,3,2019,Female,Electronic accessories,Ewallet,8,7.4,25.368
138,Yangon,645-78-8093,20,1,2019,Female,Home and lifestyle,Ewallet,2,4.1,9.314
139,Yangon,478-06-7835,11,1,2019,Male,Sports and travel,Ewallet,1,4.9,4.4845
140,Yangon,540-11-4336,11,1,2019,Male,Sports and travel,Credit card,9,5.6,11.223
141,Yangon,448-81-5016,11,3,2019,Male,Sports and travel,Credit card,2,5.8,5.977
142,Yangon,290-68-2984,16,3,2019,Male,Health and beauty,Cash,4,5.2,4.75
143,Yangon,850-41-9669,19,3,2019,Female,Health and beauty,Ewallet,9,6.2,33.777
144,Yangon,633-91-1052,27,1,2019,Female,Food and beverages,Cash,2,5.1,1.203
145,Yangon,136-08-6195,15,2,2019,Female,Home and lifestyle,Credit card,8,6.4,27.984
146,Yangon,685-64-1609,10,2,2019,Female,Health and beauty,Ewallet,10,9.2,15.07
147,Yangon,490-29-1201,6,1,2019,Female,Fashion accessories,Cash,1,6.5,0.767
148,Yangon,439-54-7422,18,3,2019,Female,Health and beauty,Credit card,4,4.7,10.238
149,Yangon,286-01-5402,30,3,2019,Female,Home and lifestyle,Cash,7,9.6,14.0805
150,Yangon,848-42-2560,5,3,2019,Female,Health and beauty,Cash,2,7.8,8.191
151,Yangon,372-94-8041,15,2,2019,Male,Fashion accessories,Ewallet,6,9.8,4.578
152,Yangon,563-91-7120,8,3,2019,Female,Sports and travel,Cash,5,6.7,15.4425
153,Yangon,746-54-5508,17,1,2019,Male,Fashion accessories,Credit card,6,9.4,6.456
154,Yangon,634-97-8956,17,2,2019,Male,Food and beverages,Credit card,3,9.1,4.935
155,Yangon,566-71-1091,3,2,2019,Male,Sports and travel,Cash,5,5.5,19.255
156,Yangon,898-04-2717,19,3,2019,Male,Food and beverages,Ewallet,9,7.5,34.38
157,Yangon,782-95-9291,20,2,2019,Male,Electronic accessories,Credit card,5,9,23.0725
158,Yangon,150-89-8043,14,2,2019,Male,Home and lifestyle,Cash,3,6.2,6.6975
159,Yangon,135-84-8019,27,2,2019,Female,Health and beauty,Ewallet,9,7.6,35.0685
160,Yangon,531-80-1784,28,3,2019,Male,Sports and travel,Cash,7,5.1,9.107
161,Yangon,834-61-8124,26,1,2019,Male,Food and beverages,Cash,7,5.5,18.0915
162,Yangon,462-67-9126,21,1,2019,Male,Sports and travel,Cash,6,7.2,21.966
163,Yangon,422-29-8786,3,1,2019,Female,Food and beverages,Credit card,5,9.1,16.7725
164,Yangon,662-72-2873,6,1,2019,Female,Sports and travel,Ewallet,5,9.9,10.235
165,Yangon,725-56-0833,20,2,2019,Female,Food and beverages,Credit card,10,10,16.16
166,Yangon,885-17-6250,6,3,2019,Female,Health and beauty,Ewallet,1,7.3,3.987
167,Yangon,726-27-2396,24,1,2019,Female,Home and lifestyle,Ewallet,5,4.3,19.375
168,Yangon,105-31-1824,1,2,2019,Male,Fashion accessories,Credit card,7,8.5,24.332
169,Yangon,316-01-3952,13,3,2019,Female,Food and beverages,Ewallet,5,4.6,13.5675
170,Yangon,732-67-5346,11,1,2019,Male,Sports and travel,Credit card,5,7.8,3.4475
171,Yangon,256-08-8343,4,3,2019,Female,Health and beauty,Ewallet,4,5.5,11.306
172,Yangon,696-90-2548,10,3,2019,Male,Food and beverages,Ewallet,3,6.6,3.876
173,Yangon,472-15-9636,22,3,2019,Male,Electronic accessories,Ewallet,8,9.2,20.372
174,Yangon,459-50-7686,13,1,2019,Female,Electronic accessories,Ewallet,6,6.4,7.038
175,Yangon,345-08-4992,8,3,2019,Male,Food and beverages,Credit card,6,7.7,10.197
176,Yangon,301-11-9629,15,1,2019,Female,Home and lifestyle,Cash,7,9.7,6.685
177,Yangon,727-17-0390,16,3,2019,Female,Food and beverages,Ewallet,5,4.8,15.9025
178,Yangon,568-88-3448,3,3,2019,Male,Fashion accessories,Ewallet,1,5.5,1.25
179,Yangon,827-26-2100,21,3,2019,Male,Food and beverages,Ewallet,9,8.8,15.228
180,Yangon,502-05-1910,25,2,2019,Male,Health and beauty,Credit card,3,6.3,9.777
181,Yangon,485-30-8700,18,3,2019,Female,Fashion accessories,Credit card,5,4.2,8.315
182,Yangon,575-67-1508,29,1,2019,Male,Food and beverages,Ewallet,1,6.7,1.93
183,Yangon,674-15-9296,8,1,2019,Male,Sports and travel,Ewallet,5,5,9.285
184,Yangon,795-49-7276,23,3,2019,Male,Health and beauty,Ewallet,4,8.3,7.43
185,Yangon,209-61-0206,5,1,2019,Female,Sports and travel,Ewallet,5,6.1,10.7275
186,Yangon,595-27-4851,27,1,2019,Female,Food and beverages,Ewallet,7,9.3,18.998
187,Yangon,189-52-0236,14,3,2019,Male,Home and lifestyle,Cash,7,7.6,34.8425
188,Yangon,220-28-1851,1,3,2019,Male,Home and lifestyle,Ewallet,2,9.7,3.473
189,Yangon,534-01-4457,27,1,2019,Male,Home and lifestyle,Credit card,6,8,24.513
190,Yangon,175-54-2529,3,3,2019,Male,Home and lifestyle,Credit card,8,9.6,8.868
191,Yangon,827-77-7633,17,2,2019,Male,Home and lifestyle,Cash,9,9.3,44.1405
192,Yangon,287-83-1405,12,2,2019,Male,Fashion accessories,Ewallet,6,7,7.629
193,Yangon,892-05-6689,11,3,2019,Female,Food and beverages,Ewallet,5,6.2,7.08
194,Yangon,643-38-7867,7,3,2019,Male,Home and lifestyle,Ewallet,1,6.9,4.897
195,Yangon,308-81-0538,25,2,2019,Female,Electronic accessories,Credit card,4,4.9,14.61
196,Yangon,460-35-4390,22,1,2019,Male,Fashion accessories,Ewallet,3,9.1,4.602
197,Yangon,647-50-1224,12,1,2019,Female,Health and beauty,Ewallet,10,8.9,14.71
198,Yangon,541-48-8554,7,1,2019,Male,Home and lifestyle,Credit card,9,6,27.4275
199,Yangon,213-32-1216,23,1,2019,Female,Health and beauty,Cash,6,7.3,19.818
200,Yangon,698-98-5964,17,1,2019,Female,Food and beverages,Credit card,10,6.3,40.605
201,Yangon,851-28-6367,23,3,2019,Male,Sports and travel,Ewallet,10,8,7.75
202,Yangon,651-88-7328,1,1,2019,Female,Electronic accessories,Cash,9,7.7,29.583
203,Yangon,550-84-8664,22,3,2019,Male,Electronic accessories,Credit card,5,8.6,21.4775
204,Yangon,797-88-0493,26,3,2019,Female,Health and beauty,Cash,4,7.7,12.854
205,Yangon,127-47-6963,9,3,2019,Male,Home and lifestyle,Credit card,4,9.8,10.342
206,Yangon,278-86-2735,27,3,2019,Female,Health and beauty,Cash,3,9.2,7.851
207,Yangon,695-28-6250,4,2,2019,Female,Electronic accessories,Ewallet,5,7.7,10.765
208,Yangon,227-50-3718,4,3,2019,Male,Home and lifestyle,Cash,5,4.4,3.655
209,Yangon,152-68-2907,15,2,2019,Male,Fashion accessories,Credit card,3,9.5,7.83
210,Yangon,318-12-0304,23,1,2019,Male,Electronic accessories,Ewallet,1,5.2,1.5305
211,Yangon,421-95-9805,7,2,2019,Female,Electronic accessories,Credit card,1,6.2,1.448
212,Yangon,319-74-2561,21,2,2019,Female,Food and beverages,Cash,3,5.5,14.196
213,Yangon,420-97-3340,28,3,2019,Female,Home and lifestyle,Credit card,3,9.2,10.752
214,Yangon,816-57-2053,9,3,2019,Male,Sports and travel,Ewallet,2,8.7,6.087
215,Yangon,308-39-1707,26,1,2019,Female,Sports and travel,Credit card,1,8.2,0.6045
216,Yangon,149-61-1929,19,1,2019,Male,Home and lifestyle,Credit card,10,6.7,32.095
217,Yangon,655-07-2265,5,3,2019,Male,Sports and travel,Ewallet,3,5.4,11.7465
218,Yangon,610-46-4100,3,3,2019,Male,Electronic accessories,Credit card,7,6,10.1325
219,Yangon,169-52-4504,14,3,2019,Female,Fashion accessories,Credit card,3,5.8,2.3535
220,Yangon,518-17-2983,4,2,2019,Female,Food and beverages,Ewallet,4,7.6,9.726
221,Yangon,811-03-8790,1,3,2019,Female,Electronic accessories,Credit card,10,4.8,22.74
222,Yangon,305-03-2383,15,2,2019,Female,Food and beverages,Cash,3,7.5,10.065
223,Yangon,157-13-5295,9,3,2019,Male,Electronic accessories,Ewallet,10,6.5,25.97
224,Yangon,445-30-9252,17,1,2019,Male,Fashion accessories,Ewallet,3,6.1,3.855
225,Yangon,258-92-7466,6,2,2019,Female,Food and beverages,Credit card,5,6.6,8.92
226,Yangon,788-21-5741,17,2,2019,Male,Sports and travel,Credit card,3,7.2,6.807
227,Yangon,635-28-5728,28,2,2019,Male,Health and beauty,Ewallet,3,4.8,8.4
228,Yangon,805-86-0265,20,3,2019,Male,Electronic accessories,Cash,9,9.8,42.282
229,Yangon,585-86-8361,3,2,2019,Female,Electronic accessories,Credit card,5,8.6,6.82
230,Yangon,652-43-6591,9,3,2019,Female,Home and lifestyle,Credit card,8,6.2,38.916
231,Yangon,406-46-7107,11,1,2019,Female,Fashion accessories,Cash,6,4.5,28.956
232,Yangon,156-95-3964,25,3,2019,Female,Electronic accessories,Ewallet,4,8,11.078
233,Yangon,886-54-6089,15,1,2019,Female,Health and beauty,Cash,6,7.7,3.429
234,Yangon,217-58-1179,5,1,2019,Male,Fashion accessories,Cash,4,4.2,12.53
235,Yangon,534-53-3526,11,2,2019,Female,Health and beauty,Ewallet,4,7.8,18.952
236,Yangon,404-91-5964,4,2,2019,Male,Sports and travel,Credit card,7,9,26.103
237,Yangon,497-37-6538,17,1,2019,Male,Health and beauty,Ewallet,7,9.7,20.6185
238,Yangon,651-96-5970,3,3,2019,Male,Fashion accessories,Credit card,1,4,2.3205
239,Yangon,702-72-0487,26,2,2019,Female,Electronic accessories,Credit card,2,6.6,4.661
240,Yangon,220-68-6701,17,3,2019,Female,Fashion accessories,Cash,4,4.2,15.494
241,Yangon,618-34-8551,16,1,2019,Female,Food and beverages,Credit card,2,8.5,9.318
242,Yangon,257-60-7754,8,1,2019,Female,Health and beauty,Cash,4,9,10.046
243,Yangon,380-60-5336,24,2,2019,Female,Fashion accessories,Credit card,10,5,20.13
244,Yangon,674-56-6360,22,3,2019,Male,Home and lifestyle,Cash,1,6,4.7575
245,Yangon,530-90-9855,1,1,2019,Male,Home and lifestyle,Cash,8,5.7,19.036
246,Yangon,832-51-6761,19,1,2019,Male,Home and lifestyle,Ewallet,8,9.6,13.552
247,Yangon,276-75-6884,4,3,2019,Female,Electronic accessories,Cash,3,8.7,10.3065
248,Yangon,237-44-6163,24,1,2019,Male,Fashion accessories,Cash,8,7.6,4.224
249,Yangon,807-34-3742,26,3,2019,Male,Electronic accessories,Cash,1,5.8,2.619
250,Yangon,497-36-0989,15,2,2019,Male,Food and beverages,Cash,3,7.9,7.791
251,Yangon,896-34-0956,26,1,2019,Male,Food and beverages,Cash,1,5.9,1.066
252,Yangon,125-45-2293,19,1,2019,Female,Fashion accessories,Cash,6,4.2,29.73
253,Yangon,843-73-4724,25,1,2019,Male,Sports and travel,Cash,1,9.2,3.705
254,Yangon,409-33-9708,19,2,2019,Female,Home and lifestyle,Ewallet,2,9.2,9.848
255,Yangon,852-82-2749,6,1,2019,Male,Home and lifestyle,Ewallet,4,9.3,12.918
256,Yangon,604-70-6476,23,1,2019,Male,Fashion accessories,Ewallet,5,6.8,4.485
257,Yangon,448-61-3783,21,3,2019,Female,Electronic accessories,Credit card,8,4.5,36.008
258,Yangon,460-93-5834,13,1,2019,Male,Home and lifestyle,Cash,7,5,15.953
259,Yangon,865-41-9075,28,1,2019,Male,Electronic accessories,Cash,7,8.1,4.0355
260,Yangon,453-33-6436,7,2,2019,Female,Electronic accessories,Cash,8,6.8,37.248
261,Yangon,749-81-8133,11,3,2019,Female,Electronic accessories,Cash,4,6.8,18.934
262,Yangon,243-55-8457,27,2,2019,Female,Fashion accessories,Ewallet,10,5.1,37.22
263,Yangon,361-85-2571,30,3,2019,Female,Fashion accessories,Cash,5,7.4,22.37
264,Yangon,720-72-2436,2,3,2019,Male,Sports and travel,Ewallet,4,6.9,13.304
265,Yangon,809-69-9497,19,1,2019,Female,Sports and travel,Ewallet,10,5.7,22.84
266,Yangon,449-16-6770,19,2,2019,Male,Sports and travel,Credit card,5,5.3,12.6975
267,Yangon,799-71-1548,7,1,2019,Male,Home and lifestyle,Credit card,4,8.8,15.544
268,Yangon,489-82-1237,5,1,2019,Female,Food and beverages,Credit card,7,7.3,32.858
269,Yangon,846-10-0341,6,1,2019,Female,Home and lifestyle,Cash,7,6.8,14.8995
270,Yangon,593-08-5916,19,3,2019,Female,Home and lifestyle,Credit card,1,7.4,0.775
271,Yangon,558-60-5016,4,3,2019,Female,Sports and travel,Ewallet,9,7.2,14.985
272,Yangon,605-03-2706,25,3,2019,Female,Health and beauty,Cash,3,9.5,2.37
273,Yangon,531-56-4728,11,2,2019,Male,Home and lifestyle,Cash,3,5.4,12.012
274,Yangon,221-25-5073,4,3,2019,Female,Home and lifestyle,Cash,4,8.5,14.932
275,Yangon,809-46-1866,23,1,2019,Male,Health and beauty,Cash,4,8.4,11.63
276,Yangon,886-18-2897,22,3,2019,Female,Fashion accessories,Credit card,5,4.5,14.14
277,Yangon,745-74-0715,10,3,2019,Male,Home and lifestyle,Ewallet,2,8.8,5.803
278,Yangon,704-11-6354,6,1,2019,Male,Fashion accessories,Cash,8,8.9,23.56
279,Yangon,347-56-2442,22,2,2019,Male,Fashion accessories,Cash,1,4.1,3.291
280,Mandalay,692-92-5582,20,2,2019,Female,Sports and travel,Credit card,3,5.9,8.226
281,Mandalay,351-62-0822,6,2,2019,Female,Home and lifestyle,Ewallet,4,4.5,2.896
282,Mandalay,529-56-3974,9,3,2019,Male,Home and lifestyle,Cash,4,6.8,5.102
283,Mandalay,299-46-1805,15,1,2019,Female,Sports and travel,Cash,6,4.5,28.116
284,Mandalay,149-71-6266,28,1,2019,Male,Health and beauty,Cash,9,4.5,35.1315
285,Mandalay,777-82-7220,3,3,2019,Male,Health and beauty,Cash,8,7.7,12.048
286,Mandalay,280-35-5823,17,1,2019,Female,Health and beauty,Ewallet,1,7.9,4.336
287,Mandalay,354-25-5821,8,2,2019,Female,Home and lifestyle,Cash,6,5.6,20.736
288,Mandalay,132-32-9879,9,3,2019,Female,Sports and travel,Cash,4,9.5,18.792
289,Yangon,366-93-0948,31,1,2019,Male,Food and beverages,Credit card,1,9.7,3.3175
290,Mandalay,370-41-7321,27,2,2019,Male,Home and lifestyle,Credit card,9,8.4,25.5105
291,Mandalay,727-46-3608,6,2,2019,Female,Electronic accessories,Ewallet,9,4.1,9.0045
292,Mandalay,669-54-1719,10,2,2019,Male,Electronic accessories,Credit card,6,8.1,5.679
293,Mandalay,616-24-2851,22,3,2019,Female,Electronic accessories,Ewallet,4,6.5,3.574
294,Mandalay,347-34-2234,3,2,2019,Female,Food and beverages,Ewallet,9,10,24.7815
295,Mandalay,853-23-2453,14,2,2019,Male,Health and beauty,Cash,4,7.6,15.148
296,Mandalay,109-28-2512,7,1,2019,Female,Electronic accessories,Ewallet,6,9.9,29.283
